time,close,high,low,spread
2025-03-13 17:03:00,1.08621,1.08639,1.0862,16
2025-03-13 17:04:00,1.08635,1.08635,1.0860400000000001,17
2025-03-13 17:05:00,1.08641,1.08643,1.08631,16
2025-03-13 17:06:00,1.08641,1.08643,1.08629,16
2025-03-13 17:07:00,1.0862,1.08642,1.08617,18
2025-03-13 17:08:00,1.08597,1.0862,1.08591,17
2025-03-13 17:09:00,1.08597,1.086,1.08587,17
2025-03-13 17:10:00,1.08622,1.08624,1.08594,18
2025-03-13 17:11:00,1.0864,1.08641,1.08622,17
2025-03-13 17:12:00,1.08625,1.08639,1.08611,17
2025-03-13 17:13:00,1.08633,1.08641,1.08622,17
2025-03-13 17:14:00,1.08622,1.08639,1.08618,16
2025-03-13 17:15:00,1.08615,1.08642,1.08615,18
2025-03-13 17:16:00,1.0863,1.08631,1.08605,17
2025-03-13 17:17:00,1.08636,1.08645,1.08624,17
2025-03-13 17:18:00,1.0861,1.08637,1.0860400000000001,16
2025-03-13 17:19:00,1.08608,1.08611,1.08592,16
2025-03-13 17:20:00,1.08606,1.08609,1.08585,16
2025-03-13 17:21:00,1.08598,1.08608,1.08586,16
2025-03-13 17:22:00,1.08587,1.08602,1.08578,16
2025-03-13 17:23:00,1.08584,1.08595,1.08584,17
2025-03-13 17:24:00,1.08589,1.086,1.08584,16
2025-03-13 17:25:00,1.08587,1.08597,1.08579,16
2025-03-13 17:26:00,1.08571,1.08596,1.08559,16
2025-03-13 17:27:00,1.08584,1.08585,1.08565,16
2025-03-13 17:28:00,1.08597,1.08612,1.08584,16
2025-03-13 17:29:00,1.08559,1.08599,1.08559,17
2025-03-13 17:30:00,1.08557,1.08565,1.08557,16
2025-03-13 17:31:00,1.08563,1.08569,1.08557,17
2025-03-13 17:32:00,1.08574,1.08592,1.08562,16
2025-03-13 17:33:00,1.08574,1.08586,1.08568,18
2025-03-13 17:34:00,1.08562,1.08578,1.08559,16
2025-03-13 17:35:00,1.08557,1.08576,1.08554,16
2025-03-13 17:36:00,1.0858,1.08587,1.08551,16
2025-03-13 17:37:00,1.08554,1.08584,1.08552,18
2025-03-13 17:38:00,1.0859,1.08591,1.08552,18
2025-03-13 17:39:00,1.08586,1.08602,1.08584,16
2025-03-13 17:40:00,1.08577,1.08594,1.08564,17
2025-03-13 17:41:00,1.08551,1.08583,1.08545,16
2025-03-13 17:42:00,1.08557,1.08618,1.08539,16
2025-03-13 17:43:00,1.08567,1.08622,1.08528,16
2025-03-13 17:44:00,1.08606,1.08613,1.08563,16
2025-03-13 17:45:00,1.08657,1.08661,1.08605,16
2025-03-13 17:46:00,1.0864,1.087,1.08636,16
2025-03-13 17:47:00,1.08699,1.08705,1.08634,16
2025-03-13 17:48:00,1.08683,1.0871,1.08649,16
2025-03-13 17:49:00,1.08685,1.08696,1.08666,17
2025-03-13 17:50:00,1.08639,1.08688,1.08636,17
2025-03-13 17:51:00,1.08605,1.08645,1.08605,17
2025-03-13 17:52:00,1.08586,1.08609,1.08579,17
2025-03-13 17:53:00,1.0859,1.08594,1.08579,16
2025-03-13 17:54:00,1.08599,1.0861399999999999,1.08589,16
2025-03-13 17:55:00,1.08599,1.08601,1.08572,16
2025-03-13 17:56:00,1.08584,1.08611,1.08584,16
2025-03-13 17:57:00,1.08599,1.08601,1.08576,16
2025-03-13 17:58:00,1.08589,1.08605,1.08586,17
2025-03-13 17:59:00,1.08577,1.08591,1.08549,16
2025-03-13 18:00:00,1.08558,1.08586,1.08556,16
2025-03-13 18:01:00,1.08566,1.0857,1.0855299999999999,16
2025-03-13 18:02:00,1.08555,1.08573,1.08554,16
2025-03-13 18:03:00,1.08554,1.08564,1.08545,16
2025-03-13 18:04:00,1.08557,1.08566,1.08552,16
2025-03-13 18:05:00,1.08564,1.08567,1.08544,16
2025-03-13 18:06:00,1.08564,1.08568,1.08548,16
2025-03-13 18:07:00,1.08574,1.08575,1.0856,17
2025-03-13 18:08:00,1.08565,1.08574,1.08548,16
2025-03-13 18:09:00,1.08564,1.08567,1.08549,18
2025-03-13 18:10:00,1.08566,1.0857,1.08555,17
